Area,Item / ID,Live binding / source,Implementation,Art,Remaining work / evidence
"UI surface","Learned-skill perk browser","client/windows/NewHorizonsPerkBrowser.cpp; client/windows/CHeroWindow.cpp; saved perk registry","Provisional","Provisional","Read-only grouped names/icons and learned/implementation status; right-click shared help with parent skill. Native build and source guard pass; rendered layout and interaction acceptance pending. Existing per-perk art classifications still apply; neutral fallback is not finished art."
"Skill","Offense (new-horizons:offense)","Mods/new-horizons/mod.json skills.offense.images — basic small=SECSK32:0:69; medium=SECSKILL:0:69; large=SECSK82:0:69; scenarioBonus=SECSKILL:0:69; advanced small=SECSK32:0:70; medium=SECSKILL:0:70; large=SECSK82:0:70; scenarioBonus=SECSKILL:0:70; expert small=SECSK32:0:71; medium=SECSKILL:0:71; large=SECSK82:0:71; scenarioBonus=SECSKILL:0:71","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Armorer (new-horizons:armorer)","Mods/new-horizons/mod.json skills.armorer.images — basic small=SECSK32:0:72; medium=SECSKILL:0:72; large=SECSK82:0:72; scenarioBonus=SECSKILL:0:72; advanced small=SECSK32:0:73; medium=SECSKILL:0:73; large=SECSK82:0:73; scenarioBonus=SECSKILL:0:73; expert small=SECSK32:0:74; medium=SECSKILL:0:74; large=SECSK82:0:74; scenarioBonus=SECSKILL:0:74","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Archery (new-horizons:archery)","Mods/new-horizons/mod.json skills.archery.images — basic small=SECSK32:0:6; medium=SECSKILL:0:6; large=SECSK82:0:6; scenarioBonus=SECSKILL:0:6; advanced small=SECSK32:0:7; medium=SECSKILL:0:7; large=SECSK82:0:7; scenarioBonus=SECSKILL:0:7; expert small=SECSK32:0:8; medium=SECSKILL:0:8; large=SECSK82:0:8; scenarioBonus=SECSKILL:0:8","Provisional","Final","Matching classic rank images are retained by exact skill identity under the user-authorized reuse policy; UI layout review remains."
"Skill","Battlecraft (new-horizons:battlecraft)","Mods/new-horizons/mod.json skills.battlecraft.images — basic small=NH_battlecraft_basic_small.png; medium=NH_battlecraft_basic_medium.png; large=NH_battlecraft_basic_large.png; scenarioBonus=NH_battlecraft_basic_scenarioBonus.png; advanced small=NH_battlecraft_advanced_small.png; medium=NH_battlecraft_advanced_medium.png; large=NH_battlecraft_advanced_large.png; scenarioBonus=NH_battlecraft_advanced_scenarioBonus.png; expert small=NH_battlecraft_expert_small.png; medium=NH_battlecraft_expert_medium.png; large=NH_battlecraft_expert_large.png; scenarioBonus=NH_battlecraft_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","War Machines (new-horizons:warMachines)","Mods/new-horizons/mod.json skills.warMachines.images — basic small=SECSK32:0:33; medium=SECSKILL:0:33; large=SECSK82:0:33; scenarioBonus=SECSKILL:0:33; advanced small=SECSK32:0:34; medium=SECSKILL:0:34; large=SECSK82:0:34; scenarioBonus=SECSKILL:0:34; expert small=SECSK32:0:35; medium=SECSKILL:0:35; large=SECSK82:0:35; scenarioBonus=SECSKILL:0:35","Provisional","Provisional","Classic rank art is borrowed for a renamed/reworked New Horizons skill; semantic fit and user visual approval are not established. Review or replace the binding."
"Skill","Discipline (new-horizons:discipline)","Mods/new-horizons/mod.json skills.discipline.images — basic small=SECSK32:0:21; medium=SECSKILL:0:21; large=SECSK82:0:21; scenarioBonus=SECSKILL:0:21; advanced small=SECSK32:0:22; medium=SECSKILL:0:22; large=SECSK82:0:22; scenarioBonus=SECSKILL:0:22; expert small=SECSK32:0:23; medium=SECSKILL:0:23; large=SECSK82:0:23; scenarioBonus=SECSKILL:0:23","Provisional","Provisional","Classic rank art is borrowed for a renamed/reworked New Horizons skill; semantic fit and user visual approval are not established. Review or replace the binding."
"Skill","Recruitment (new-horizons:recruitment)","Mods/new-horizons/mod.json skills.recruitment.images — basic small=NH_recruitment_basic_small.png; medium=NH_recruitment_basic_medium.png; large=NH_recruitment_basic_large.png; scenarioBonus=NH_recruitment_basic_scenarioBonus.png; advanced small=NH_recruitment_advanced_small.png; medium=NH_recruitment_advanced_medium.png; large=NH_recruitment_advanced_large.png; scenarioBonus=NH_recruitment_advanced_scenarioBonus.png; expert small=NH_recruitment_expert_small.png; medium=NH_recruitment_expert_medium.png; large=NH_recruitment_expert_large.png; scenarioBonus=NH_recruitment_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
"Skill","Command (new-horizons:command)","Mods/new-horizons/mod.json skills.command.images — basic small=SECSK32:0:60; medium=SECSKILL:0:60; large=SECSK82:0:60; scenarioBonus=SECSKILL:0:60; advanced small=SECSK32:0:61; medium=SECSKILL:0:61; large=SECSK82:0:61; scenarioBonus=SECSKILL:0:61; expert small=SECSK32:0:62; medium=SECSKILL:0:62; large=SECSK82:0:62; scenarioBonus=SECSKILL:0:62","Provisional","Provisional","Classic rank art is borrowed for a renamed/reworked New Horizons skill; semantic fit and user visual approval are not established. Review or replace the binding."
"Skill","Light Magic (new-horizons:lightMagic)","Mods/new-horizons/mod.json skills.lightMagic.images — basic small=NH_lightMagic_basic_small.png; medium=NH_lightMagic_basic_medium.png; large=NH_lightMagic_basic_large.png; scenarioBonus=NH_lightMagic_basic_scenarioBonus.png; advanced small=NH_lightMagic_advanced_small.png; medium=NH_lightMagic_advanced_medium.png; large=NH_lightMagic_advanced_large.png; scenarioBonus=NH_lightMagic_advanced_scenarioBonus.png; expert small=NH_lightMagic_expert_small.png; medium=NH_lightMagic_expert_medium.png; large=NH_lightMagic_expert_large.png; scenarioBonus=NH_lightMagic_expert_scenarioBonus.png","Provisional","Provisional","Rank/size outputs are bound; user-final approval and native in-game rank grid review are not recorded."
